Ville,Titre,Lien,Description,Prix_de_vente,Localisation,Prix_m2,Surface_m2,type,Pieces,Chambres,Garage,Balcon,Ascenseur,Terrain_m2,DPE
paris-75,Appartement - 2/3 pièce(s) - 41 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287207243A1KIVHAP000,"Proche canal saint martin et parc des buttes chaumont métro et bus à 50m petite copropriété sur 3 niveaux dernier étage toiture, parties communes et privatives récentes prestations grand standing, nouvelles normes hpe et bbc nécessaires pour...",323000.0,Paris 19  (75019),7878.0,41.0,Appartement,3,,0,0,0,,
paris-75,Maison - 10 pièce(s) - 328 m²,https://www.paruvendu.fr/immobilier/vente/maison/1283395124A1KIVHMN000,Ref: fl-1338 maison de caractÈre À 1h de la gare du nord maison 328 m2 + secteur idÉal + hypercentre + 6 chambres + bureaux + cave + jardin + possibilitÉ profession libÉrale + proximitÉ de la gare l'agence abithéa vous propose une sublime...,480000.0,Paris 1  (75001),1463.0,328.0,Maison,10,6,0,0,0,,F
paris-75,Appartement - 1 pièce(s) - 14 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287202749A1KIVHAP000,"Dans bel immeuble pierres de taille parfaitement entretenu, sur cour plein sud, beau studio ensoleillé de 13,58 m2 carrez (14,05 m2 au sol, + mezzanine), meublé et équipé, refait en 2021, comprenant une pièce principale avec mezzanine de couchage...",175000.0,Paris 9  (75009),12500.0,14.0,Appartement,1,,0,0,0,,E
paris-75,Maison - 6 pièce(s) - 200 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286211079A1KIVHMN000,"Paris xix stalingrad maison cheminÉe terrasse possibilitÉ 5 chambres calme et lumineuse efficity, l'agence qui estime votre bien en ligne, vous propose cette maison en fond de copropriété d'une surface de 194m² en loi carrez. situé...",1450000.0,Paris 18  (75018),7250.0,200.0,Maison,6,3,0,0,0,,D
paris-75,Appartement - 3/4 pièce(s) - 82 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287202460A1KIVHAP000,"Achat appartement. Buttes chaumont récent dernier étage 3 pièces avec terrasse. a 100 m du parc des buttes chaumont sur le plateau secteur alouettes proche métro, bus et commerces toiture, parties communes et privatives récentes nouvelles normes hpe et bbc...",780000.0,Paris 19  (75019),9512.0,82.0,Appartement,4,,0,1,0,,
paris-75,Maison - 10 pièce(s) - 196 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1287058146A1KIVHMN000,"Proche métro alexandre dumas, rue de bagnolet, dans une petite ruelle pavé, une maison sur 3 niveaux comprenant: entrée, au rez-de-chaussée, 4 chambres, cuisine, salle de bains, terrasse, au 1ère étage, pièce à vivre avec cuisine, terrasse,...",2163150.0,Paris 20  (75020),11036.0,196.0,Maison,10,,0,0,0,90.0,D
paris-75,Appartement - 3/4 pièce(s) - 83 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287203360A1KIVHAP000,"A 100 m du parc des buttes chaumont sur le plateau secteur alouettes proche métro, bus et commerces 3ème et 4ème étage toiture, parties communes et privatives récentes nouvelles normes hpe et bbc garanties décennale et biennale prestations...",775000.0,Paris 19  (75019),9337.0,83.0,Appartement,4,,0,0,0,,
paris-75,Maison - 3 pièce(s) - 60 m²,https://www.paruvendu.fr/immobilier/vente/maison/1284946087A1KIVHMN000,Iad france valérie de saint leger vous propose: péniche navigante de charme à paris port de la bastille maison flottante rénovée avec terrasse sur la seine. une occasion unique de vivre sur l'eau au coeur de la ville lumière ! cette péniche...,379000.0,Paris 4  (75004),6317.0,60.0,Maison,3,1,0,0,0,,
paris-75,Appartement - 2 pièce(s) - 29 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286722852A1KIVHAP000,"Appartement vrai coup de c?ur avec vue imprenable sur le parc des buttes-chaumont et paris ! traversant et entièrement rénové avec de beaux matériaux (isolation par l'intérieur, fenêtres a' double vitrage, électricité aux normes, chauffage et eau...",339000.0,Paris 19  (75019),11690.0,29.0,Appartement,2,1,0,0,0,,D
paris-75,Maison - 4 pièce(s) - 140 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1285719191A1KIVHMN000,"Iad france hector galloula () vous propose : maison de ville de 140 m² environ, avec commercialité, située entre les portes dorée et charenton, en bordure du bois de vincennes et à proximité des transports. au rez-de-chaussée, vous trouverez...",1040000.0,Paris 12  (75012),7429.0,140.0,Maison,4,3,0,0,0,,D
paris-75,Appartement - 2 pièce(s) - 43 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287188613A1KIVHAP000,"À 7 minutes de gambetta et à 3 minutes de la place edith piaf. situé au 2e étage avec ascenseur d'une résidence sécurisée avec gardienne, l'appartement (41.07m² carrez) se compose d'une belle pièce de vie lumineuse ouvrant sur un balcon de 7.6...",390000.0,Paris 20  (75020),9070.0,43.0,Appartement,2,1,1,1,0,,D
paris-75,Maison - 2 pièce(s) - 38 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1284980008A1KIVHMN000,"Maison en duplex de type 2 de 36m² avec cour privative de 29 m² cave paris 16ème. jean immobilier vous propose ce magnifique t2 de 36 m², entièrement rénové, avec une cour privative exceptionnelle de 29 m², situé dans un environnement...",602500.0,Paris 16  (75016),15855.0,38.0,Maison,2,1,0,0,0,,D
paris-75,Appartement - 2 pièce(s) - 33 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287179341A1KIVHAP000,"Rue des moines, marché des batignolles, dans immeuble ancien rénové, beau 2 pièces de 33 m² au 1er étage sur cour comprenant : entrée, séjour, chambre, cuisine, salle de bains, wc séparé, dressing, placards. chauffage électrique par radiateurs à...",323000.0,Paris 17  (75017),9788.0,33.0,Appartement,2,1,0,0,0,,E
paris-75,Maison - 3 pièce(s) - 78 m²,https://www.paruvendu.fr/immobilier/maison-neuve/1285672538A1KIVHMN000,"Paris 20, à 6 min à pied du métro ligne 3 station gambetta, des commerces et des écoles, je vous propose une maison t3 avec une terrasse de 20m² dans une résidence réalisée avec de belles prestations. elle se compose d'une entrée, d'un beau...",1190000.0,Paris 20  (75020),15256.0,78.0,Maison,3,,0,0,0,20.0,A
paris-75,Appartement - 2/3 pièce(s) - 53 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286972220A1KIVHAP000,"Appartement à vendre. A 50m de l'0péra 2/3 pièces récent. uniquement pour investisseur avisé opéra et grands magasins à 50m rer, métro, bus et commerces au pied de la résidence grand séjour double nouvelles normes hpe et bbc accès aux personnes à mobilité réduites...",651000.0,Paris 8  (75008),12283.0,53.0,Appartement,3,,0,0,0,,
paris-75,Maison - 6 pièce(s) - 185 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286598838A1KIVHMN000,"Exceptionnel. dans le quartier prisé de la mouzaïa, à deux pas du parc des buttes-chaumont, cette maison emblématique des années 20 au sein d'un hameau privé, bénéficie d'une triple exposition et d'un emplacement privilégié à l'abri des regards...",1965000.0,Paris 19  (75019),10622.0,185.0,Maison,6,4,0,0,0,,D
paris-75,Appartement - 2/3 pièce(s) - 60 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287076779A1KIVHAP000,"Proche cimetière de montmartre et parc des batignoles toiture, parties communes et privatives récentes nouvelles normes hpe et bbc ascenseur neuf terrasse de 15m² adjacente au calme prestations grand standing, double vitrage, volets roulants...",633000.0,Paris 17  (75017),10550.0,60.0,Appartement,3,,0,1,0,,
paris-75,Appartement - 2 pièce(s) - 48 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287050797A1KIVHAP000,"Paris 11e (passage dallery) t2 de 48 m² en parfait état avec ascenseur. situé passage dallery dans le 11ème arrondissement, à deux pas de la rue de la roquette, ce t2 de 48 m² se trouve au 1er étage avec ascenseur d'un immeuble de standing...",520000.0,Paris 11  (75011),10833.0,48.0,Appartement,2,1,0,0,0,,C
