Ville,Titre,Lien,Description,Prix,Localisation,Détails
paris-75,Appartement - 1 pièce(s) - 14 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287202749A1KIVHAP000,"Dans bel immeuble pierres de taille parfaitement entretenu, sur cour plein sud, beau studio ensoleillé de 13,58 m2 carrez (14,05 m2 au sol, + mezzanine), meublé et équipé, refait en 2021, comprenant une pièce principale avec mezzanine de couchage...",175 000 €*12 500 € / m2,,"Studio - 1 pièce, DPE :E"
paris-75,Maison - 10 pièce(s) - 328 m²,https://www.paruvendu.fr/immobilier/vente/maison/1283395124A1KIVHMN000,Ref: fl-1338  maison de caractÈre  À 1h de la gare du nord  maison 328 m2 + secteur idÉal + hypercentre + 6 chambres + bureaux + cave + jardin + possibilitÉ profession libÉrale + proximitÉ de la gare   l'agence abithéa vous propose une sublime...,480 000 €1 463 € / m2,,"10 pièces, 6
chambres, DPE :F332kWh/m².an97kg CO2/m².an"
paris-75,Appartement - 3/4 pièce(s) - 82 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287202460A1KIVHAP000,"Vente appartement.
Buttes chaumont récent dernier étage 3 pièces avec terrasse. a 100 m du parc des buttes chaumont
sur le plateau secteur alouettes
proche métro, bus et commerces
toiture, parties communes et privatives récentes
nouvelles normes hpe et bbc...",780 000 €*9 512 € / m2,,"3/4 pièces, Balcon"
paris-75,Maison - 6 pièce(s) - 200 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286211079A1KIVHMN000,"Paris xix - stalingrad - maison - cheminÉe - terrasse - possibilitÉ 5 chambres - calme et lumineuse - efficity, l'agence qui estime votre bien en ligne, vous propose cette maison en fond de copropriété d'une surface de 194m² en loi carrez.  situé...",1 450 000 €7 250 € / m2,,"Exclusivité, 6 pièces, 3
chambres, DPE :D210kWh/m².an34kg CO2/m².an"
paris-75,Appartement - 3/4 pièce(s) - 83 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287203360A1KIVHAP000,"A 100 m du parc des buttes chaumont
sur le plateau secteur alouettes
proche métro, bus et commerces
3ème et 4ème étage
toiture, parties communes et privatives récentes
nouvelles normes hpe et bbc
garanties décennale et biennale
prestations...",775 000 €*9 337 € / m2,,3/4 pièces
paris-75,Maison - 10 pièce(s) - 196 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1287058146A1KIVHMN000,"Proche métro alexandre dumas, rue de bagnolet, dans une petite ruelle pavé, une maison  sur 3 niveaux comprenant: entrée, au rez-de-chaussée, 4 chambres, cuisine, salle de bains, terrasse, au 1ère étage, pièce à vivre avec cuisine, terrasse,...",2 163 150 €11 036 € / m2,,"10 pièces, Terrain 90 m2, DPE :D197kWh/m².an41kg CO2/m².an"
paris-75,Appartement - 2 pièce(s) - 43 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287188613A1KIVHAP000,"À 7 minutes de gambetta et à 3 minutes de la place edith piaf.
situé au 2e étage avec ascenseur d'une résidence sécurisée avec gardienne, l'appartement (41.07m² carrez) se compose d'une belle pièce de vie lumineuse ouvrant sur un balcon de 7.6...",390 000 €*9 070 € / m2,,"2 pièces, 1
chambre, Garage, Balcon, DPE :D"
paris-75,Maison - 3 pièce(s) - 60 m²,https://www.paruvendu.fr/immobilier/vente/maison/1284946087A1KIVHMN000,Iad france  - valérie de saint leger vous propose: péniche navigante de charme à paris port de la bastille  - maison flottante rénovée avec terrasse sur la seine. une occasion unique de vivre sur l'eau au coeur de la ville lumière ! cette péniche...,379 000 €6 317 € / m2,,"Exclusivité, 3 pièces, 1
chambre"
paris-75,Appartement - 2 pièce(s) - 33 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287179341A1KIVHAP000,"Rue des moines, marché des batignolles, dans immeuble ancien rénové, beau 2 pièces de 33 m² au 1er étage sur cour comprenant :
entrée, séjour, chambre, cuisine, salle de bains, wc séparé, dressing, placards. chauffage électrique par radiateurs à...",323 000 €*9 788 € / m2,,"2 pièces, 1
chambre, DPE :E"
paris-75,Maison - 4 pièce(s) - 140 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1285719191A1KIVHMN000,"Iad france  - hector galloula () vous propose : maison de ville de 140 m² environ, avec commercialité, située entre les portes dorée et charenton, en bordure du bois de vincennes et à proximité des transports.  au rez-de-chaussée, vous trouverez...",1 040 000 €7 429 € / m2,,"4 pièces, 3
chambres, DPE :D194kWh/m².an33kg CO2/m².an"
paris-75,Appartement - 3 pièce(s) - 75 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287179329A1KIVHAP000,"Particulier vend à paris 3è proche du conservatoire des arts-et-métiers, très beau 3 pièces de 75m² clair, calme et ensoleillé, sur rue et cour dans un immeuble ancien rénové au 5è étage sans ascenseur.
entrée, couloir, séjour, 2 chambres, grande...",850 000 €*11 333 € / m2,,"3 pièces, 2
chambres, Balcon, DPE :D"
paris-75,Maison - 2 pièce(s) - 38 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1284980008A1KIVHMN000,"Maison en duplex de type 2  de 36m² avec cour privative de 29 m² - cave  -  paris 16ème.  jean immobilier vous propose ce magnifique t2 de 36 m², entièrement rénové, avec une cour privative exceptionnelle de 29 m², situé dans un environnement...",602 500 €15 855 € / m2,,"2 pièces, 1
chambre, DPE :D253kWh/m².an8kg CO2/m².an"
paris-75,Appartement - 2 pièce(s) - 29 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286568938A1KIVHAP000,"Situé à deux pas du métro jules joffrin, au coeur d'un quartier vivant et recherché du 18ème arrondissement, ce bel appartement de 2 pièces au 6ème et dernier étage (sans ascenseur) séduit par sa luminosité exceptionnelle et sa vue dégagée sur les...",325 000 €*11 207 € / m2,,"2 pièces, 1
chambre"
paris-75,Maison - 3 pièce(s) - 78 m²,https://www.paruvendu.fr/immobilier/maison-neuve/1285672538A1KIVHMN000,"Paris 20, à 6 min à pied du métro ligne 3 station gambetta, des commerces et des écoles, je vous propose une maison t3 avec une terrasse de 20m² dans une résidence réalisée avec de belles prestations.  elle se compose d'une entrée, d'un beau...",1 190 000 €15 256 € / m2,,"3 pièces, Terrain 20 m2, DPE :A"
paris-75,Appartement - 2 pièce(s) - 30 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287019983A1KIVHAP000,"Dans un quartier avec tous commerces et services, proche nation et reuilly diderot (rer, métros et bus), particulier propose à la vente, un appartement meublé au 4eme étage sans ascenseur d une petite copropriété très calme avec une pièce à vivre...",290 000 €*9 667 € / m2,,"2 pièces, DPE :G"
paris-75,Maison - 6 pièce(s) - 185 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286598838A1KIVHMN000,"Exceptionnel.  dans le quartier prisé de la mouzaïa, à deux pas du parc des buttes-chaumont, cette maison emblématique des années 20 au sein d'un hameau privé, bénéficie d'une triple exposition et d'un emplacement privilégié à l'abri des regards...",1 965 000 €10 622 € / m2,,"6 pièces, 4
chambres, DPE :D243kWh/m².an49kg CO2/m².an"
paris-75,Appartement - 2/3 pièce(s) - 53 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286972220A1KIVHAP000,"Vente appartement.
A 50m de l'0péra 2/3 pièces récent. uniquement pour investisseur avisé
opéra et grands magasins à 50m
rer, métro, bus et commerces au pied de la résidence
grand séjour double
nouvelles normes hpe et bbc
accès aux personnes à mobilité réduites...",651 000 €*12 283 € / m2,,2/3 pièces
paris-75,Maison - 4 pièce(s) - 113 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286817605A1KIVHMN000,"Maison avec terrasse.  a deux pas de jourdain, dans une rue pittoresque menant au parc de belleville, maison en double exposition offrant un séjour prolongé par une belle terrasse plein ciel, au calme et ensoleillée, deux chambres dont l'une sur...",898 000 €7 947 € / m2,,"4 pièces, 3
chambres, DPE :F403kWh/m².an82kg CO2/m².an"
paris-75,Appartement - 1 pièce(s) - 21 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286972666A1KIVHAP000,"Achat appartement.
0péra / grands magasins rare t1bis récent dernier étage. uniquement pour investisseur avisé
opéra et grands magasins à 50m
rer, métro, bus et commerces au pied de la résidence
6ème et dernier étage avec ascenseur neuf
t1 bis bien aménagé...",269 000 €*12 810 € / m2,,Studio - 1 pièce
paris-75,Maison - 11 pièce(s) - 321 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286971679A1KIVHMN000,"Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 19063    pure place par homki a le plaisir de vous proposer cette extraordinaire maison de famille à proximité immédiate...",2 995 000 €9 330 € / m2,,"Exclusivité, 11 pièces, 4
chambres, DPE :E280kWh/m².an61kg CO2/m².an"
paris-75,Appartement - 1 pièce(s) - 22 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287043500A1KIVHAP000,"Ideal investisseurs
studio meublé de 15m² + cave de 7m² entre paris et villejuif :)
il est situé au pied du métro ligne 7 grâce auquel vous atteindrez le centre-ville de paris en quelques minute.
commerce à proximité.
idéal pour une...",149 000 €*6 773 € / m2,,"Studio - 1 pièce, 1
chambre, DPE :C"
paris-75,Appartement - 4 pièce(s) - 93 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287040217A1KIVHAP000,"Beau duplex ancien au calme et lumineux
bel appartement ancien, aux 4ème et 5ème (dernier) étages d'une petite copropriété calme et bien gérée (pas d'ascenseur), qui vient d'être ravalée. 
rue louis braille, à proximité des métros michel...",790 000 €*8 495 € / m2,,"4 pièces, 3
chambres, DPE :D"
paris-75,Appartement - 1 pièce(s) - 23 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287039639A1KIVHAP000,"Studio lumineux de 22,63 m² sis rue de montreuil à 5 minutes à pied du métro/rer nation et 1 minute du métro avron.
niché au 4éme étage sans ascenseur d'un immeuble de 7 étages donnant sur une grande cour calme avec vue dégagée et vis-à-vis...",230 000 €*10 000 € / m2,,"Studio - 1 pièce, 1
chambre, DPE :F"
paris-75,Appartement - 5 pièce(s) - 98 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287022067A1KIVHAP000,"? direct propriétaire ? visites tous les jours jusqu'à 17 h 30 ?
paris 9e haussmann / trinité, martyrs 
appartement 4-5 pièces, 2-3 chambres
dans un immeuble ancien récemment ravalé avec ascenseur et gardien, superbe appartement...",1 150 000 €*11 735 € / m2,,"5 pièces, DPE :D"
paris-75,Parking / Garage - 12 m²,https://www.paruvendu.fr/immobilier/vente/parking-garage/1287022813A1KIVHPK000,"Vend parking proche rue lappes,5 eme sous sol,bonnes dimensions, sécurisé wi176508954 vente immobilier parking / garage paris 11 parking / garage 12 m²",18 600 €*1 550 € / m2,,
paris-75,Appartement - 1 pièce(s) - 26 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286977640A1KIVHAP000,"Studio de 26 m2 (loi carrez) au 4ème et dernier étage d'un immeuble ?pierre de paris' entièrement refait dans quartier très prisé proche parc monceau, place des ternes et marché poncelet. tous services et commodités. calme et très lumineux...",320 000 €*12 308 € / m2,,"Studio - 1 pièce, DPE :E"
paris-75,Appartement - 2 pièce(s) - 32 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286977366A1KIVHAP000,"(chasseur / intermédiaire / agent immobilier s'abstenir, nous sommes du métier)
vente d'un appartement de 32m², situé au 3? étage d'un immeuble bien entretenu et sécurisé avec ascenseur. ce charmant appartement offre un cadre de vie paisible et...",312 000 €*9 750 € / m2,,"2 pièces, 1
chambre, DPE :D"
paris-75,Parking / Garage - 12 m²,https://www.paruvendu.fr/immobilier/vente/parking-garage/1286969803A1KIVHPK000,"Je vends mon emplacement de parking du 65 rue de l'aqueduc.
accès par télécommande + clé
il est à une minute à pied de la station de métro stalingrad.
facile d'accès et idéalement situé au 2e sous-sol d'une petite copropriété.
il est à...",21 000 €*1 750 € / m2,,
paris-75,Appartement - 2 pièce(s) - 56 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286958917A1KIVHAP000,"Ce beau duplex, idéalement situé dans le quartier st paul, est au rdc/1er étage d'une très belle copropriété.
il se compose d'une grande pièce de vie de 22m2 avec ces deux grandes fenêtres, une cuisine indépendante équipée. à  l'étage, un coin...",647 000 €*11 554 € / m2,,2 pièces
paris-75,Appartement - 4 pièce(s) - 96 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286955045A1KIVHAP000,"Paris 8ème ? parc monceau 
appartement d'architecte type 4 pièces de 95,24 m² carrez (96,70 m² au sol) avec balcon et cave voûtée. surface pondérée : environ 101 m².
au 2ème étage avec ascenseur d'un immeuble haussmannien en pierre de...",1 650 000 €*17 188 € / m2,,"4 pièces, 3
chambres, Balcon, DPE :D"
paris-75,Duplex/triplex - 2 pièce(s) - 28 m²,https://www.paruvendu.fr/immobilier/vente/duplex-triplex/1286669676A1KIVHDU000,"À deux pas de la place de la bastille, découvrez ce bel appartement en duplex plein sud de 28 m², baigné de lumière tout au long de la journée et offrant une vue dégagée sur l'angelot de la colonne de juillet.
situé dans une résidence sécurisée...",329 000 €*11 750 € / m2,,"2 pièces, 1
chambre, Ascenseur, DPE :D"
paris-75,Maison - 5 pièce(s) - 352 m²,https://www.paruvendu.fr/immobilier/vente/maison/1286611288A1KIVHMN000,"Maison individuelle t3 avec annexe t1 à alcanena
vidéo - 
propriété polyvalente située dans une zone calme d'alcanena, alliant espace, fonctionnalité et potentiel de revenu
composition du bien :
habitation principale (Étage supérieur) :...",319 000 €*906 € / m2,,"5 pièces, 3
chambres, Terrain 1 186 m2, DPE :F"
paris-75,Appartement - 4 pièce(s) - 98 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286938440A1KIVHAP000,"Exceptionnel appartement de 4 pièces ? 98 m² ? immeuble de standing ? plein sud ? secteur roland-garros / hippodrome d'auteuil
dans un immeuble de grand standing, idéalement situé à deux pas de roland-garros et face à l'hippodrome d'auteuil,...",1 020 000 €*10 408 € / m2,,"4 pièces, 2
chambres, Garage, DPE :F"
paris-75,Duplex/triplex - 3/4 pièce(s) - 142 m²,https://www.paruvendu.fr/immobilier/vente/duplex-triplex/1286725860A1KIVHDU000,"Dans un quartier paisible et verdoyant, à proximité des commerces et des écoles, à quelques minutes du centre de canastel - oran , la résidence le belvédère offre un emplacement idéal. profitez de l'intimité de cette résidence, avec un appartement...",100 000 €*704 € / m2,,"Viager, 3/4 pièces, 3
chambres, Garage, Balcon"
paris-75,Parking / Garage - 11 m²,https://www.paruvendu.fr/immobilier/vente/parking-garage/1286931780A1KIVHPK000,"À vendre une place de parking en sous-sol située dans un immeuble moderne de la rue du père corentin, dans le 14? arrondissement de paris. l'accès est très simple et pratique et la place mesure 2,30 m de large sur 5 m de long. de 2,30 mètres de...",33 000 €*3 000 € / m2,,
paris-75,Appartement - 3 pièce(s) - 70 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286915054A1KIVHAP000,"À proximité du village d'auteuil, au 5e étage d'un immeuble moderne, appartement de 70 m2 avec vue dégagée 
il comprend : une entrée, un séjour de de 27 m2, une cuisine séparée, deux chambres, une salle de bains et des toilettes séparées. vendu...",719 000 €*10 271 € / m2,,"3 pièces, 2
chambres, DPE :D"
paris-75,Appartement - 1 pièce(s) - 19 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286914200A1KIVHAP000,"Tout équipé (frigo, plaques électriques, micro-onde, machine à laver, porte blindée), meublé, chauffage central, internet haut débit fibre
gardienne, 3 ascenseurs, 2 entrées (181 et 183 avenue victor hugo)
proche écoles (université dauphine,...",270 000 €*14 211 € / m2,,"Studio - 1 pièce, 1
chambre, DPE :E"
paris-75,Appartement - 2 pièce(s) - 40 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286909964A1KIVHAP000,"Quand on entend parler de dubaï, on pense souvent au luxe et aux images médiatiques. pourtant, le marché immobilier est très structuré, sérieux et accessible, avec des protections concrètes pour les investisseurs.  par exemple : 1?? le bien...",1 000 €*25 € / m2,,2 pièces
paris-75,Appartement - 3 pièce(s) - 49 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286887252A1KIVHAP000,"Bel appartement à vendre, 3 pièces bien agencé, sans perte d'espace- 49m2- au 1er étage, il se compose d'1 entrée, d'1 salle à manger, de 2 chambres, d'1 salle de bain, d'1 cuisine, et d'1 wc séparé.
une cave s'ajaoute à l'appartement et...",418 000 €*8 531 € / m2,,"3 pièces, 2
chambres, DPE :F"
paris-75,Appartement - 4 pièce(s) - 98 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286884483A1KIVHAP000,"Paris 8-9e ? haussmann / trinité / martyrs
? direct propriétaire ? visites aujourd'hui et demain jusqu'à 17h30 ?
superbe 4-5 pièces de 98 m², traversant, lumineux, calme, exposé plein sud, situé au 3? étage dans un immeuble ancien récemment...",1 150 000 €*11 735 € / m2,,4 pièces
paris-75,Appartement - 4 pièce(s) - 98 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286553483A1KIVHAP000,"Appartement de charme ? saint-georges / trinité ? paris centre
? direct propriétaire ? bien rare à la vente ?
dans un bel immeuble ancien ravalé avec ascenseur et gardien, superbe 5 pièces traversant de 98 m² au 3? étage, lumineux, calme,...",1 150 000 €*11 735 € / m2,,"4 pièces, 3
chambres, DPE :D"
